,,,,,
,,,,,
Nombre del indicador,"Porcentaje de niños, niñas y adolescentes de 3 a 17 años con discapacidad que no asiste a la  escuela",,,,
17 022,2020,Tetela del Volcán,45.9,5.8,30.1
17 010,2020,Jantetelco,42.6,8.1,23.8
17 030,2020,Yecapixtla,44.0,12.4,21.2
17 029,2020,Yautepec,46.1,9.1,22.7
17 017,2020,Puente de Ixtla,49.3,8.2,21.7
17 026,2020,Tlayacapan,30.5,5.5,28.9
17 016,2020,Ocuituco,32.8,12.5,23.7
17 027,2020,Totolapan,44.3,5.4,25.7
17 018,2020,Temixco,42.9,8.8,23.5
17 002,2020,Atlatlahucan,31.5,8.9,26.4
17 008,2020,Emiliano Zapata,46.4,6.4,21.5
17 036,2020,Hueyapan,24.0,6.6,32.7
17 019,2020,Tepalcingo,50.0,4.7,22.7
17 031,2020,Zacatepec,44.3,10.7,17.7
17 006,2020,Cuautla,41.8,7.4,20.5
17 025,2020,Tlaquiltenango,35.4,9.9,21.4
17 005,2020,Coatlán del Río,50.0,1.9,18.2
17 011,2020,Jiutepec,42.8,7.4,15.9
17 009,2020,Huitzilac,45.9,5.4,18.4
17 007,2020,Cuernavaca,34.5,6.5,16.1
17 020,2020,Tepoztlán,33.5,4.6,18.2
17 032,2020,Zacualpan de Amilpas,62.5,10.1,10.5
17 015,2020,Miacatlán,37.3,4.3,15.4
17,2020,Morelos,42.6,7.9,21.4
